"longitude","latitude","environment.2017_land_distance","environment.2017_mean_depth","environment.2017_net_primary_production","environment.2017_sea.bottom_dissolved_oxygen","fishing.activity.2017_total_fishing","species.richness.2017","stocks.richness.2017","thermohalinity_2017","cluster","distance_class_interpretation","hotspot"
5.72,43.03,3.392898338,0.037580968,0.813117396,0.357205919,-0.103003575,1.903065349,1.432096698,-1.915107807,11,"high risk",1
6.22,43.03,4.082238132,0.716713534,0.52667323,1.27003023,-0.419837129,1.952275295,1.525255076,-1.81911841,11,"high risk",1
6.72,43.03,1.066376551,-0.287990733,-0.169940815,-0.355090235,-0.415525258,1.158764916,0.919725621,-0.740719404,11,"high risk",1
7.22,43.03,-0.371957424,-0.386266866,-0.100181058,-0.087885586,-0.420652325,-0.096088707,-0.058437343,-0.487592804,11,"high risk",1
7.72,43.03,-0.424983567,-0.393766206,-0.141492665,-0.076179361,-0.417609274,-0.625095627,-0.57080842,-0.469757268,1,"low risk",0
8.22,43.03,-0.441554225,-0.395873128,-0.20393859,-0.09808603,-0.412394858,-0.760422978,-0.757125175,-0.440919558,1,"low risk",0
8.72,43.03,-0.385704947,-0.39322767,-0.219745731,-0.074173698,-0.416430171,-0.748120492,-0.757125175,-0.379632557,1,"low risk",0
9.22,43.03,0.704473162,-0.346277138,-0.225616825,-0.213728806,-0.413510634,0.506733131,0.547092111,-0.398299034,11,"high risk",1
9.72,43.03,-0.371957424,-0.048344026,-0.172843018,0.425386092,-0.024082554,0.605153023,1.106042377,-0.604467623,11,"high risk",1
10.22,43.03,0.704473162,0.61149581,0.325486324,1.989420975,0.427854643,1.853855403,1.897888586,-1.1026969,11,"high risk",1
14.22,43.03,-0.268512987,1.554827015,0.072026191,2.12164614,3.711412975,0.771236591,1.152621565,-0.58791401,11,"high risk",1
14.72,43.03,-0.456484246,1.312947231,-0.122411229,1.393338089,1.216106219,0.291439618,0.873146433,-0.7435477,11,"high risk",1
15.22,43.03,-0.385704947,0.565748968,-0.112604779,1.022566393,1.615461483,0.59900178,1.338938321,-0.762605455,11,"high risk",1
15.72,43.03,0.704473162,1.456687339,-0.05839392,1.713722693,1.338987334,1.201823619,1.618413453,-0.864761078,11,"high risk",1
16.22,43.03,0.780663351,1.261369897,0.339722485,2.739598444,0.875041021,1.860006646,2.037626152,-1.183568332,11,"high risk",1
16.72,43.03,1.187011023,3.845966291,0.920535561,2.562349702,-0.200463143,1.56474697,1.804730208,-0.972369711,11,"high risk",1
17.22,43.03,3.392898338,1.663672942,1.723069156,2.39714682,-0.28002784,1.804645457,1.75815102,-1.88962464,11,"high risk",1
3.22,42.53,0.780663351,1.312947231,0.660994158,1.795058064,0.500783529,1.527839511,1.432096698,-1.644830871,11,"high risk",1
3.72,42.53,-0.268512987,-0.040198628,0.209122102,0.445609475,0.534459799,0.918866429,0.919725621,-1.285619183,11,"high risk",1
4.22,42.53,-0.447709044,-0.266111919,1.224343554,-0.083369981,-0.096888822,0.980378862,1.059463188,-1.133919654,11,"high risk",1
4.72,42.53,-0.424983567,-0.34276294,2.280015839,-0.211760059,-0.342438306,1.103403727,1.245779943,-1.061985808,11,"high risk",1
5.22,42.53,-0.424983567,-0.374430884,0.352457885,-0.153780222,-0.417201343,0.217624699,0.547092111,-0.992976866,11,"high risk",1
5.72,42.53,-0.424983567,-0.387467779,0.0748724,-0.065461442,-0.420516414,0.014633671,0.267616979,-0.878507535,11,"high risk",1
6.22,42.53,-0.424983567,-0.389717176,0.07576216,0.30354823,-0.420652325,0.37140578,0.640250489,-0.790664731,11,"high risk",1
6.72,42.53,-0.441554225,-0.395060752,-0.144530194,-0.073901103,-0.42046177,-0.477465789,-0.431070853,-0.662203651,11,"high risk",1
7.22,42.53,-0.479937931,-0.397268136,-0.15111641,-0.098398218,-0.420652325,-0.680456816,-0.757125175,-0.596929043,1,"low risk",0
7.72,42.53,-0.507756083,-0.397957249,-0.164527546,-0.129816664,-0.420652325,-0.723515519,-0.803704363,-0.494241656,1,"low risk",0
8.22,42.53,-0.390063914,-0.397446606,-0.192839937,-0.084150362,-0.420652325,-0.711213032,-0.757125175,-0.328175984,1,"low risk",0
9.72,42.53,0.704473162,-0.11738668,-0.226346222,0.575180455,-0.033262155,0.752782861,0.826567244,-0.609252344,11,"high risk",1
10.22,42.53,0.780663351,0.694019567,-0.174993486,1.648890465,0.239919814,1.066496267,1.059463188,-0.976876815,11,"high risk",1
10.72,42.53,0.959934366,0.661599549,-0.152293242,1.629602331,2.033164504,1.31869724,1.525255076,-1.473576786,11,"high risk",1
14.22,42.53,0.780663351,2.021860956,0.579778459,2.103803417,5.78230401,1.638561889,1.851309397,-1.019071394,11,"high risk",1
14.72,42.53,-0.376655944,0.423046233,-0.084326193,0.607064668,2.796634047,0.666665456,1.478675887,-0.654458296,11,"high risk",1
15.22,42.53,-0.441554225,0.905126653,-0.220316947,0.605955315,1.897621035,0.272985888,0.873146433,-0.710089637,11,"high risk",1
15.72,42.53,-0.441554225,3.845966291,-0.211915509,1.352283219,0.907886055,-0.009971302,0.453933734,-0.823595602,11,"high risk",1
16.22,42.53,-0.390063914,1.261369897,-0.164856569,2.007303074,1.138991255,0.365254537,0.919725621,-0.904759479,11,"high risk",1
16.72,42.53,0.780663351,1.367748141,0.05118281,2.467370665,0.108474679,1.638561889,1.944467775,-1.098422332,11,"high risk",1
17.22,42.53,0.704473162,0.803829256,0.489974413,2.140637774,-0.040488898,2.155266323,2.037626152,-1.07872107,11,"high risk",1
17.72,42.53,1.187011023,0.557072904,1.038955623,2.169332238,-0.197673417,2.216778755,1.944467775,-1.569399445,11,"high risk",1
18.22,42.53,5.047313825,0.84531295,1.028950546,2.084442036,-0.161530444,1.700074322,1.804730208,-1.683166199,11,"high risk",1
3.22,42.03,1.483957386,0.752509211,0.264682917,0.309112213,2.453801163,1.773889241,1.571834264,-1.335091841,11,"high risk",1
3.72,42.03,-0.276168285,-0.308859604,0.063195741,-0.48262763,0.376772717,0.592850537,0.733408866,-0.967585199,11,"high risk",1
4.22,42.03,-0.462050378,-0.379925731,0.098172266,-0.113340315,-0.420157657,-0.40365087,-0.15159572,-0.90780918,11,"high risk",1
4.72,42.03,-0.542082967,-0.386343486,0.08718783,0.013396303,-0.420307112,-0.465163302,-0.291333287,-0.963862427,11,"high risk",1
5.22,42.03,-0.544837168,-0.387638495,-0.075323395,0.035725228,-0.420652325,-0.526675735,-0.337912476,-1.004528875,11,"high risk",1
5.72,42.03,-0.544837168,-0.393051862,-0.095314412,-0.020652832,-0.420652325,-0.600490654,-0.710545986,-0.913670217,1,"low risk",0
6.22,42.03,-0.544837168,-0.395663987,-0.093542397,-0.04645569,-0.420652325,-0.6497006,-0.803704363,-0.781836599,1,"low risk",0
6.72,42.03,-0.551403485,-0.39717022,-0.104960221,-0.092031286,-0.420652325,-0.61279314,-0.803704363,-0.574080228,1,"low risk",0
7.22,42.03,-0.562188698,-0.398502266,-0.11184529,-0.1086177,-0.420652325,-0.643549357,-0.896862741,-0.465404517,1,"low risk",0
7.72,42.03,-0.509654339,-0.398958395,-0.144442891,-0.130896492,-0.420652325,-0.66815433,-0.757125175,-0.385344165,1,"low risk",0
8.22,42.03,-0.390063914,-0.394477888,-0.179656254,-0.047056273,-0.420652325,-0.63124687,-0.663966797,-0.190985087,1,"low risk",0
8.72,42.03,2.875893494,-0.209664383,-0.176261154,-0.144719326,-0.420652325,0.894261456,0.919725621,-0.655928132,11,"high risk",1
9.72,42.03,0.780663351,-0.183482491,-0.256838101,-0.013558311,-0.315840132,0.63590924,0.733408866,-0.656835221,11,"high risk",1
10.22,42.03,-0.390063914,-0.109049502,-0.242709118,0.048887769,0.186942473,0.205322212,0.5936713,-0.704770985,11,"high risk",1
10.72,42.03,0.704473162,-0.256967805,-0.226857527,0.075631112,0.840654053,0.660514213,0.686829678,-0.702806661,11,"high risk",1
11.22,42.03,0.780663351,0.126669122,-0.174372658,1.39389775,2.862702858,1.214126105,1.059463188,-1.212114216,11,"high risk",1
11.72,42.03,2.473778614,0.515843375,-0.054202497,2.425766906,2.096195449,1.214126105,0.919725621,-1.820818544,11,"high risk",1
15.22,42.03,0.704473162,1.663672942,-0.036098656,1.759858856,3.40348826,1.189521132,1.571834264,-0.690571069,11,"high risk",1
15.72,42.03,-0.376655944,1.286773672,-0.131140499,1.967098014,2.929719692,0.488279402,1.059463188,-0.702122265,11,"high risk",1
16.22,42.03,-0.444663381,0.874540064,-0.15267823,1.800614785,1.249501231,0.359103293,1.059463188,-0.726898878,11,"high risk",1
16.72,42.03,-0.444663381,0.168473877,-0.198822372,1.331153782,0.351809905,0.229927185,0.826567244,-0.83854349,11,"high risk",1
17.22,42.03,-0.444663381,-0.290174853,-0.19315161,-0.125430438,-0.140086121,0.076146104,0.640250489,-0.654272643,11,"high risk",1
17.72,42.03,-0.444663381,-0.327433245,-0.076954317,-0.037698463,-0.199186772,0.795841564,1.478675887,-0.524380453,11,"high risk",1
18.22,42.03,-0.371957424,-0.274865412,0.123118826,0.660773195,-0.242808648,1.558595727,1.897888586,-0.679652836,11,"high risk",1
18.72,42.03,1.066376551,0.777629077,0.166522051,2.277547943,-0.279632001,2.069148917,2.037626152,-1.096426561,11,"high risk",1
2.72,41.53,2.875893494,0.273760004,1.807580887,0.462798938,0.396363748,2.721180702,1.804730208,-0.79494216,11,"high risk",1
3.22,41.53,0.865319125,-0.021335407,0.595328696,0.011299958,1.753061753,2.899566756,1.944467775,-0.64163187,11,"high risk",1
3.72,41.53,-0.376655944,-0.370022251,-0.002877812,-0.211399868,-0.272357628,0.236078428,0.453933734,-0.740086307,11,"high risk",1
4.22,41.53,-0.491381518,-0.393670953,-0.034506252,-0.036099551,-0.420652325,-0.569734438,-0.710545986,-0.733924804,1,"low risk",0
4.72,41.53,-0.555138646,-0.394624993,-0.0014275,-0.047108769,-0.420652325,-0.526675735,-0.663966797,-0.764444545,1,"low risk",0
5.22,41.53,-0.593128629,-0.392536821,-0.083149699,-0.02150796,-0.420652325,-0.545129465,-0.617387608,-0.807797822,1,"low risk",0
5.72,41.53,-0.599812319,-0.394624993,-0.108394114,-0.032114053,-0.420652325,-0.625095627,-0.803704363,-0.71347603,1,"low risk",0
6.22,41.53,-0.599812319,-0.396472195,-0.084752114,-0.063834102,-0.420652325,-0.526675735,-0.710545986,-0.537222571,1,"low risk",0
6.72,41.53,-0.601909795,-0.397941508,-0.09486721,-0.095861965,-0.420652325,-0.563583194,-0.803704363,-0.370931607,1,"low risk",0
7.22,41.53,-0.568729132,-0.399063371,-0.121541846,-0.14202228,-0.420652325,-0.637398113,-0.896862741,-0.294970478,1,"low risk",0
7.72,41.53,-0.509654339,-0.399404803,-0.155412883,-0.126872297,-0.420652325,-0.698910546,-0.850283552,-0.251902288,1,"low risk",0
8.22,41.53,-0.394317842,-0.390272147,-0.174236186,-0.063238593,-0.420579903,-0.563583194,-0.617387608,-0.117561351,1,"low risk",0
8.72,41.53,1.324878959,-0.281698556,-0.142723362,0.771405655,-0.420652325,1.078798754,0.873146433,-0.76214238,11,"high risk",1
9.72,41.53,-0.394317842,-0.268449973,-0.260026592,-0.340285464,-0.327998274,0.082297347,0.5936713,-0.471845319,11,"high risk",1
10.22,41.53,-0.482309122,-0.314877478,-0.269190837,-0.450488675,-0.393931462,-0.526675735,-0.337912476,-0.489089618,11,"high risk",1
10.72,41.53,-0.444663381,-0.353330765,-0.269588596,-0.432404236,-0.372351658,-0.760422978,-0.896862741,-0.440352498,11,"high risk",1
11.22,41.53,-0.444663381,-0.321115721,-0.246431204,-0.298723763,-0.311052609,-0.538978221,-0.57080842,-0.460733053,11,"high risk",1
11.72,41.53,-0.376655944,-0.279932024,-0.061334773,0.051023067,1.163389129,1.380209673,1.711571831,-0.61171277,11,"high risk",1
12.22,41.53,1.324878959,0.087809474,1.23389767,0.804617023,3.723803777,2.721180702,2.084205341,-1.617456399,11,"high risk",1
16.22,41.53,0.959934366,0.548545103,0.162759671,2.723842155,2.622645425,1.921519079,1.851309397,-1.762838301,11,"high risk",1
16.72,41.53,-0.376655944,0.155913944,-0.141967238,1.721879263,1.264327952,0.715875402,1.385517509,-0.837729047,11,"high risk",1
17.22,41.53,-0.444663381,-0.292297399,-0.205649755,-0.18831558,-0.380073787,0.026936158,0.547092111,-0.629070439,11,"high risk",1
17.72,41.53,-0.482309122,-0.337064969,-0.20590306,-0.364167026,-0.402563186,-0.434407086,-0.105016532,-0.443318554,11,"high risk",1
18.22,41.53,-0.482309122,-0.332715364,-0.201599118,-0.151868015,-0.357678985,-0.323684708,-0.011858154,-0.538547576,11,"high risk",1
18.72,41.53,-0.376655944,-0.086737938,-0.062561978,1.464656568,-0.210146544,1.380209673,1.711571831,-0.822464015,11,"high risk",1
19.22,41.53,0.780663351,1.488310144,1.815505106,2.434690964,-0.286399005,1.841552917,1.944467775,-1.341101588,11,"high risk",1
1.22,41.03,4.082238132,1.043158258,2.419136915,-0.207854397,3.491630665,1.736981781,1.571834264,-1.554154404,11,"high risk",1
1.72,41.03,1.888884255,-0.012016526,2.113581318,-0.495356124,4.64824327,2.825751837,2.037626152,-1.119915217,11,"high risk",1
2.22,41.03,0.865319125,-0.204959342,1.203036916,-0.802625329,1.378062689,2.979532918,2.084205341,-0.414797192,11,"high risk",1
2.72,41.03,-0.376655944,-0.3409059,0.801094918,-0.4741845,-0.043900646,1.853855403,1.851309397,0.0407962,11,"high risk",1
3.22,41.03,-0.444663381,-0.372115284,0.211432335,-0.294019563,-0.248113641,0.857353997,1.338938321,-0.004467083,11,"high risk",1
3.72,41.03,-0.482309122,-0.38919577,-0.053612656,-0.05123359,-0.420652325,-0.262172275,-0.15159572,-0.260040578,11,"high risk",1
4.22,41.03,-0.539251145,-0.396063172,-0.06844496,-0.03328188,-0.420652325,-0.526675735,-0.663966797,-0.432375396,1,"low risk",0
4.72,41.03,-0.563312625,-0.397365704,0.009029436,-0.05240902,-0.420652325,-0.477465789,-0.663966797,-0.391925178,1,"low risk",0
5.22,41.03,-0.58318309,-0.396370692,-0.018649626,-0.051198199,-0.420652325,-0.465163302,-0.663966797,-0.421823583,1,"low risk",0
5.72,41.03,-0.605272428,-0.396873811,-0.063162148,-0.075694241,-0.420652325,-0.508222005,-0.663966797,-0.351539209,1,"low risk",0
6.22,41.03,-0.610938243,-0.397543249,-0.069547069,-0.095366452,-0.420652325,-0.538978221,-0.803704363,-0.267674225,1,"low risk",0
6.72,41.03,-0.581395866,-0.398777147,-0.113302673,-0.108208385,-0.420652325,-0.606641897,-0.896862741,-0.215445359,1,"low risk",0
7.22,41.03,-0.540676958,-0.400311737,-0.153088472,-0.141307174,-0.420615154,-0.66815433,-0.896862741,-0.121917366,1,"low risk",0
7.72,41.03,-0.484637984,-0.39962436,-0.193788188,-0.076066153,-0.416417183,-0.785027951,-0.850283552,-0.107872447,1,"low risk",0
8.22,41.03,-0.381237004,-0.364235161,-0.191923362,0.096072125,-0.304162001,0.008482428,0.081300223,-0.312488337,11,"high risk",1
8.72,41.03,0.704473162,-0.155608719,-0.157852161,1.626694299,-0.038187939,1.1280087,0.96630481,-0.764301475,11,"high risk",1
9.72,41.03,0.704473162,-0.000607275,-0.229977153,0.92111971,-0.125160085,0.777387834,0.779988055,-0.910191645,11,"high risk",1
10.22,41.03,-0.381237004,-0.34047396,-0.267347836,-0.354866012,-0.382730024,-0.63124687,-0.57080842,-0.413981133,11,"high risk",1
10.72,41.03,-0.495685071,-0.366441734,-0.274394649,-0.312881287,-0.418971899,-0.66815433,-0.850283552,-0.262195341,1,"low risk",0
11.22,41.03,-0.539251145,-0.351099655,-0.274682163,-0.255443623,-0.4193658,-0.803481681,-0.94344193,-0.171508626,1,"low risk",0
11.72,41.03,-0.482309122,-0.365231909,-0.215428129,-0.213369192,-0.417111125,-0.692759303,-0.803704363,-0.123356822,1,"low risk",0
12.22,41.03,-0.376655944,-0.339862971,0.59192301,0.013017453,0.614158379,1.700074322,1.897888586,-0.297239946,11,"high risk",1
12.72,41.03,0.780663351,-0.074417123,1.519691693,0.257446124,4.389234695,3.022591621,2.177363719,-0.971400874,11,"high risk",1
13.22,41.03,1.483957386,0.777629077,0.196769001,0.35560248,1.715858223,2.309047404,1.991046963,-1.251644413,11,"high risk",1
13.72,41.03,2.152086716,1.166811547,0.516698421,1.023641896,3.134291642,1.86615789,1.711571831,-1.849412897,11,"high risk",1
17.22,41.03,0.780663351,-0.068528645,-0.067098781,1.389585273,0.716303608,2.007636485,1.75815102,-0.871859111,11,"high risk",1
17.72,41.03,-0.381237004,-0.300391061,-0.158869903,0.188317391,-0.105229134,0.752782861,1.152621565,-0.545349195,11,"high risk",1
18.22,41.03,-0.444663381,-0.325057461,-0.202543635,-0.242169921,-0.367486421,-0.126844924,0.314196167,-0.471882289,11,"high risk",1
18.72,41.03,-0.398470496,-0.244179634,-0.151259283,0.479665485,-0.268283153,0.82659778,1.385517509,-0.752311148,11,"high risk",1
19.22,41.03,0.635539194,2.075394403,1.54439921,2.437747979,-0.334436551,1.761586754,1.944467775,-1.487103307,11,"high risk",1
28.22,41.03,6.494927379,5.650870562,1.31709186,1.653616942,-0.305408987,-0.459012059,-0.477650042,2.170809171,11,"high risk",1
0.72,40.53,1.669548855,2.866161175,4.035014253,1.046287507,9.519809822,1.693923079,1.432096698,-1.952944086,11,"high risk",1
1.22,40.53,-0.28358053,0.296512883,1.297708318,-0.517488688,4.877540707,2.468979728,1.991046963,-0.378169431,11,"high risk",1
1.72,40.53,-0.421448495,-0.342928332,0.491778944,-0.791802321,0.006470797,1.441722105,1.664992642,0.099030913,11,"high risk",1
2.22,40.53,-0.447709044,-0.371747695,0.146216748,-0.610753498,-0.37345649,0.37140578,0.500512922,0.266520886,11,"high risk",1
2.72,40.53,-0.484637984,-0.381327684,0.149105548,-0.355346862,-0.41391442,-0.17605487,-0.105016532,0.34263412,11,"high risk",1
3.22,40.53,-0.484637984,-0.387418821,0.149807465,-0.13558689,-0.420652325,-0.231416059,-0.011858154,0.308585144,11,"high risk",1
3.72,40.53,-0.447709044,-0.39211252,0.051812347,-0.016656484,-0.420644701,-0.354440924,-0.058437343,0.08995014,11,"high risk",1
4.22,40.53,-0.447709044,-0.396183194,0.02406041,0.009207816,-0.420652325,-0.323684708,-0.198174909,-0.097231133,2,"low risk",0
4.72,40.53,-0.484637984,-0.398440577,0.083626386,-0.028535927,-0.420652325,-0.391348383,-0.337912476,0.003907499,2,"low risk",0
5.22,40.53,-0.540676958,-0.398378888,0.076279022,-0.064494454,-0.420652325,-0.452860816,-0.477650042,0.023545838,2,"low risk",0
5.72,40.53,-0.58318309,-0.398394281,0.009429248,-0.094972608,-0.420652325,-0.434407086,-0.617387608,0.006024943,2,"low risk",0
6.22,40.53,-0.605925852,-0.398563608,-0.036495395,-0.113898141,-0.420652325,-0.4221046,-0.57080842,-0.042547532,2,"low risk",0
6.72,40.53,-0.571825172,-0.399827252,-0.114882088,-0.130853942,-0.420652325,-0.582036924,-0.94344193,-0.055017593,1,"low risk",0
7.22,40.53,-0.513360461,-0.400535809,-0.19226356,-0.101045209,-0.420192819,-0.754271735,-0.896862741,0.023268474,1,"low risk",0
7.72,40.53,-0.398470496,-0.389218686,-0.231303797,0.000311354,-0.214034572,-0.520524492,-0.617387608,0.016035257,11,"high risk",1
8.22,40.53,1.324878959,0.078329832,-0.159564519,0.680826357,0.402560862,0.814295294,0.22103779,-1.540514841,11,"high risk",1
10.22,40.53,-0.28358053,-0.3401257,-0.258739885,-0.225280827,-0.260105931,-0.40365087,-0.384491664,-0.102349259,11,"high risk",1
10.72,40.53,-0.467404463,-0.385144193,-0.273779359,-0.171922707,-0.420645885,-0.748120492,-0.757125175,0.052661826,1,"low risk",0
11.22,40.53,-0.54618617,-0.394825686,-0.285876414,-0.200614849,-0.420652325,-0.766574222,-0.850283552,0.120598708,1,"low risk",0
11.72,40.53,-0.540676958,-0.390728971,-0.288004181,-0.195282799,-0.420481055,-0.766574222,-0.896862741,0.123136357,1,"low risk",0
12.22,40.53,-0.484637984,-0.396370692,-0.255662709,-0.191448075,-0.411431193,-0.717364276,-0.896862741,0.078186649,1,"low risk",0
12.72,40.53,-0.447709044,-0.392775939,-0.184691723,-0.143109263,-0.244645867,-0.311382221,-0.57080842,-0.129279441,11,"high risk",1
13.22,40.53,-0.381237004,-0.351787726,-0.201860996,-0.04219245,0.258683503,-0.15760114,-0.337912476,-0.137584362,11,"high risk",1
13.72,40.53,0.635539194,-0.278581228,0.112977158,0.121215335,1.747088759,2.173720052,1.851309397,-0.41803517,11,"high risk",1
14.22,40.53,1.187011023,-0.034577856,1.093917952,0.650214514,1.13402064,3.09640654,2.177363719,-0.853782666,11,"high risk",1
14.72,40.53,4.082238132,0.062533823,0.87715701,0.823606502,0.51800638,1.693923079,1.478675887,-1.560195721,11,"high risk",1
18.22,40.53,0.704473162,0.060355374,-0.154442665,1.494322434,3.623597808,1.37405843,1.059463188,-0.980137487,11,"high risk",1
18.72,40.53,-0.398470496,-0.257549281,-0.170689104,0.423707418,-0.014644388,0.691270429,1.292359132,-0.675153865,11,"high risk",1
19.22,40.53,0.780663351,0.429540375,0.802020698,1.928686012,-0.399992701,2.450525999,1.991046963,-1.560585145,11,"high risk",1
22.72,40.53,6.494927379,6.793036533,2.045820476,-9.205247877,-0.383433707,-0.932657789,-0.94344193,-2.516309949,11,"high risk",1
24.22,40.53,1.187011023,0.889657608,0.989149957,0.434986159,2.551209639,2.247534971,1.897888586,-0.239100564,11,"high risk",1
24.72,40.53,1.066376551,0.970775826,1.026551267,0.988543196,0.972975236,2.07530016,1.851309397,-0.516617222,11,"high risk",1
25.22,40.53,0.704473162,0.874540064,0.890765426,-0.07976075,1.309653917,1.896914106,1.851309397,-0.392512069,11,"high risk",1
25.72,40.53,1.066376551,2.021860956,1.755425828,0.436804083,5.401005056,1.441722105,1.571834264,-0.107987861,11,"high risk",1
26.22,40.53,2.875893494,2.189761566,2.608795892,0.369766268,0.352199124,0.82659778,0.779988055,-0.055345442,11,"high risk",1
26.72,40.53,4.082238132,9.204275779,1.785133099,0.493836039,-0.420652325,-0.932657789,-0.94344193,9.959402395,11,"high risk",1
27.22,40.53,2.152086716,1.663672942,1.280266662,0.527381531,-0.212390079,-0.102239951,-0.058437343,2.414602533,11,"high risk",1
27.72,40.53,0.704473162,-0.129553678,2.118443019,-6.354495072,0.787392764,-0.108391194,-0.058437343,3.075497634,11,"high risk",1
28.22,40.53,-0.381237004,-0.164453415,1.555358068,-7.486931209,-0.303213316,-0.434407086,-0.291333287,3.834833917,11,"high risk",1
28.72,40.53,0.704473162,-0.14542758,2.217159826,-8.03711478,0.743079887,-0.354440924,-0.291333287,4.195592144,11,"high risk",1
